risk_level	n_papers	pct	2020	2021	2022	2023	2024	2025	2026
CRITICAL	0	0.0	0	0	0	0	0	0	0
HIGH	0	0.0	0	0	0	0	0	0	0
MEDIUM	22	0.3	1	3	2	0	2	7	7
LOW	0	0.0	0	0	0	0	0	0	0
NONE	7211	99.7	703	911	800	947	1413	1708	729
