transcript_id	gene_symbol	gene_family	n_conditions	n_MANE_higher	n_CDS_higher	n_equal	n_CDS_zero	frac_MANE_higher	frac_CDS_higher	frac_CDS_zero	median_ratio_mane_over_cds	median_tpm_mane	median_tpm_cds	classification
ENST00000216968.5	PROCR		22	0	0	0	22	0.0	0.0	1.0	NA	51.4758	0.0	no_CDS_signal
ENST00000217244.9	CSNK2A1		22	0	0	0	22	0.0	0.0	1.0	NA	49.5201	0.0	no_CDS_signal
ENST00000217305.3	PDYN		22	0	0	0	22	0.0	0.0	1.0	NA	50.9276	0.0	no_CDS_signal
ENST00000217426.7	AHCY		22	0	0	0	22	0.0	0.0	1.0	NA	51.3811	0.0	no_CDS_signal
ENST00000218068.7	PAGE4		22	0	0	0	22	0.0	0.0	1.0	NA	51.4276	0.0	no_CDS_signal
ENST00000218075.9	GLRA2		22	0	0	0	22	0.0	0.0	1.0	NA	50.8406	0.0	no_CDS_signal
ENST00000219091.9	ZNF205		22	0	0	0	22	0.0	0.0	1.0	NA	51.4298	0.0	no_CDS_signal
ENST00000219139.8	PHAF1		22	0	0	0	22	0.0	0.0	1.0	NA	51.8156	0.0	no_CDS_signal
ENST00000219150.10	CORO1A		22	0	0	0	22	0.0	0.0	1.0	NA	51.4568	0.0	no_CDS_signal
ENST00000219169.9	NUTF2		22	0	0	0	22	0.0	0.0	1.0	NA	51.2765	0.0	no_CDS_signal
ENST00000219235.5	CCL22		22	0	0	0	22	0.0	0.0	1.0	NA	50.7013	0.0	no_CDS_signal
ENST00000219244.9	CCL17		22	0	0	0	22	0.0	0.0	1.0	NA	51.4035	0.0	no_CDS_signal
ENST00000219320.9	SLC38A7		22	0	0	0	22	0.0	0.0	1.0	NA	50.6529	0.0	no_CDS_signal
ENST00000219334.10	SMPD3		22	0	0	0	22	0.0	0.0	1.0	NA	50.1483	0.0	no_CDS_signal
ENST00000219400.8	CMC2		22	0	0	0	22	0.0	0.0	1.0	NA	49.7456	0.0	no_CDS_signal
ENST00000219611.7	CAPN15		22	0	0	0	22	0.0	0.0	1.0	NA	51.5503	0.0	no_CDS_signal
ENST00000220003.14	CSK		22	0	0	0	22	0.0	0.0	1.0	NA	51.5836	0.0	no_CDS_signal
ENST00000220562.9	EXTL3		22	0	0	0	22	0.0	0.0	1.0	NA	49.7037	0.0	no_CDS_signal
ENST00000220584.9	FDFT1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5797	0.0	no_CDS_signal
ENST00000220597.4	PAG1		22	0	0	0	22	0.0	0.0	1.0	NA	49.7501	0.0	no_CDS_signal
ENST00000220812.3	DKK4		22	0	0	0	22	0.0	0.0	1.0	NA	51.4525	0.0	no_CDS_signal
ENST00000220931.11	NCALD		22	0	0	0	22	0.0	0.0	1.0	NA	50.5024	0.0	no_CDS_signal
ENST00000221232.11	CNOT3		22	0	0	0	22	0.0	0.0	1.0	NA	51.5891	0.0	no_CDS_signal
ENST00000221315.10	ZNF432		22	0	0	0	22	0.0	0.0	1.0	NA	50.2227	0.0	no_CDS_signal
ENST00000221515.6	RETN		22	0	0	0	22	0.0	0.0	1.0	NA	51.3808	0.0	no_CDS_signal
ENST00000221554.13	YJU2B		22	0	0	0	22	0.0	0.0	1.0	NA	51.4573	0.0	no_CDS_signal
ENST00000221922.11	CCDC9		22	0	0	0	22	0.0	0.0	1.0	NA	51.5953	0.0	no_CDS_signal
ENST00000222307.9	KXD1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4758	0.0	no_CDS_signal
ENST00000222345.11	SIPA1L3		22	0	0	0	22	0.0	0.0	1.0	NA	50.3195	0.0	no_CDS_signal
ENST00000222553.8	NAMPT		22	0	0	0	22	0.0	0.0	1.0	NA	50.5855	0.0	no_CDS_signal
ENST00000222573.5	ITGB8		22	0	0	0	22	0.0	0.0	1.0	NA	49.9099	0.0	no_CDS_signal
ENST00000222574.9	HBP1		22	0	0	0	22	0.0	0.0	1.0	NA	48.9078	0.0	no_CDS_signal
ENST00000222644.10	PALS2		22	0	0	0	22	0.0	0.0	1.0	NA	49.8765	0.0	no_CDS_signal
ENST00000222673.6	OGDH		22	0	0	0	22	0.0	0.0	1.0	NA	51.5873	0.0	no_CDS_signal
ENST00000222747.8	TSPAN12		22	0	0	0	22	0.0	0.0	1.0	NA	51.1112	0.0	no_CDS_signal
ENST00000222823.9	NOD1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5498	0.0	no_CDS_signal
ENST00000222902.7	CCL24		22	0	0	0	22	0.0	0.0	1.0	NA	51.4543	0.0	no_CDS_signal
ENST00000222969.10	BUD31		22	0	0	0	22	0.0	0.0	1.0	NA	43.7717	0.0	no_CDS_signal
ENST00000223336.11	COA1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4374	0.0	no_CDS_signal
ENST00000223428.9	ZNF510		22	0	0	0	22	0.0	0.0	1.0	NA	49.9806	0.0	no_CDS_signal
ENST00000224784.10	ACTA2	actin	22	0	0	0	22	0.0	0.0	1.0	NA	52.6125	0.0	no_CDS_signal
ENST00000225648.4	HOXB6		22	0	0	0	22	0.0	0.0	1.0	NA	51.4573	0.0	no_CDS_signal
ENST00000225740.11	ALDH3A1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5384	0.0	no_CDS_signal
ENST00000225792.10	DDX5		22	0	0	0	22	0.0	0.0	1.0	NA	50.5604	0.0	no_CDS_signal
ENST00000226207.6	MYH1		22	0	0	0	22	0.0	0.0	1.0	NA	49.5642	0.0	no_CDS_signal
ENST00000226319.11	JADE1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5891	0.0	no_CDS_signal
ENST00000226444.4	SULT1E1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4582	0.0	no_CDS_signal
ENST00000226574.9	NFKB1		22	0	0	0	22	0.0	0.0	1.0	NA	51.5871	0.0	no_CDS_signal
ENST00000226796.7	GAR1		22	0	0	0	22	0.0	0.0	1.0	NA	51.4454	0.0	no_CDS_signal
ENST00000227135.7	SPA17		22	0	0	0	22	0.0	0.0	1.0	NA	50.4678	0.0	no_CDS_signal
ENST00000227155.9	CD82		22	0	0	0	22	0.0	0.0	1.0	NA	51.3102	0.0	no_CDS_signal
ENST00000227349.7	JHY		22	0	0	0	22	0.0	0.0	1.0	NA	49.9497	0.0	no_CDS_signal
ENST00000227618.9	ANAPC15		22	0	0	0	22	0.0	0.0	1.0	NA	51.4287	0.0	no_CDS_signal
ENST00000227758.7	BIRC2		22	0	0	0	22	0.0	0.0	1.0	NA	50.5536	0.0	no_CDS_signal
ENST00000228251.9	YBX3		22	0	0	0	22	0.0	0.0	1.0	NA	51.5789	0.0	no_CDS_signal
