database	cell_type	n_markers	n_markers_in_uf	n_markers_affected	frac_affected	affected_markers
CellMarker2	Endothelial cell	525	519	519	1.0	A2M;ABCB1;ABCB7;ABCC1;ABCG2;ACE;ACKR1;ACVRL1;ACYP1;ADGRE5;ADGRF5;ADGRG6;ADGRL2;ADGRL4;AEBP1;AFG1L;AGGF1;AKAP12;ALCAM;ANGPT2;ANO10;ANP32E;ANPEP;ANTXR1;ANXA2;ANXA3;AP1S2;APLN;APLNR;APOC3;APOLD1;APPBP2;AQP1;ARGLU1;ARL4A;ARL8B;ARMCX2;ATP10D;ATP1A1;B2M;BBS4;BCAR1;BCAT1;BCHE;BCL6B;BIN1;BIRC5;BMP6;BMPR1A;BMX;BNIP1;BNIP3;BRD3;BSG;BST2;BTNL9;BUB1B;BUB3;C11orf96;C22orf39;CA4;CALCRL;CARD8;CASP7;CAV1;CAVIN1;CAVIN2;CBX1;CCDC85B;CCL14;CCL2;CCL21;CCN2;CCNG1;CD14;CD151;CD160;CD209;CD24;CD248;CD274;CD320;CD34;CD
CellMarker2	Astrocyte	498	491	491	1.0	AASS;ABAT;ABCA1;ABCD3;ABHD3;ACSBG1;ACSL6;ADCYAP1R1;ADD3;ADGRB1;ADGRG1;ADORA2B;AGT;AIF1L;AK4;ALCAM;ALDH1A1;ALDH1L1;ALDH6A1;ALDOC;ALPL;ANLN;ANOS1;ANXA5;APBB2;APC;APOE;AQP1;AQP4;ARHGEF26;ATF3;ATP13A4;ATP1A2;ATP1B2;B2M;B3GLCT;BBOX1;BBS2;BCAN;BCAP29;BCHE;BCL11A;BDH2;BEX1;BMP7;BMPR1B;BRINP3;BTBD17;BTG2;C16orf89;C1orf122;C2orf72;C3orf70;C5AR1;CA12;CADM2;CAMK2G;CASQ1;CASTOR1;CBR1;CBS;CCDC80;CD109;CD24;CD40;CD44;CD63;CD80;CD82;CD86;CD9;CDC42EP1;CDC42EP4;CDH11;CHI3L1;CHRDL1;CHST9;CLDN10;CLU;CNN3;COL12A1;C
CellMarker2	Gonadal endothelial cell	476	470	470	1.0	A2M;ABCG1;ABHD2;ACP2;ACTB;ADAM15;ADAMTS7;ADAMTS9;ADD3;ADM;AGAP6;AGO4;AIF1;AKAP12;AMOTL1;ANGPT1;ANGPTL4;ANKRD6;ANP32E;ANXA11;ANXA2;APP;ARHGAP28;ARHGAP29;ARHGEF2;ARHGEF3;ARHGEF7;ARMCX2;ARPC1B;ARRB1;ASAP1;ASAP2;ASB7;ATP8A1;B4GALT6;BAZ1A;BCAP29;BCHE;BID;BIK;BIN3;BIRC5;BLCAP;BRD9;BUB1;BZW2;C1QTNF3;C1orf21;CALCRL;CALM1;CALML4;CAPG;CARD8;CAVIN1;CCDC167;CCDC85A;CCDC85B;CCN1;CCN2;CCND1;CCPG1;CD109;CD200;CD24;CDC34;CDC37;CDC42EP1;CDCA5;CDCA7;CDCA8;CDK2AP1;CDYL;CHEK2;CHPF2;CHST12;CHST15;CKS1B;CLIC1;CMTM7;C
CellMarker2	Regulatory T (Treg) cell	483	463	463	1.0	ABI2;ACOT9;ACP5;ACSL4;ACTA2;ACTR3C;ADA;ADAM10;ADAT2;ADCY3;ADI1;ADORA2A;ADPRH;AFTPH;AKAP5;AKIP1;AKIRIN2;ALDH3A2;ANKRD10;APLP2;ARHGAP9;ARHGEF12;ARID5B;ARPC1A;ARPC1B;ARPP19;ASB2;ASXL2;ATOX1;ATP13A3;ATP1B1;ATP2B1;ATP6V0A1;ATP6V1C2;B3GNT2;BABAM2;BACH1;BATF;BBLN;BEX3;BIRC3;BST2;BTG3;C16orf87;C21orf91;C3AR1;C7orf25;CACYBP;CADM1;CALM3;CARD16;CASP1;CASP2;CBX5;CCDC141;CCDC22;CCDC50;CCM2;CCND2;CCNG2;CCR1;CCR10;CCR4;CCR6;CCR8;CD101;CD177;CD2;CD27;CD3D;CD3E;CD3G;CD4;CD52;CD58;CD59;CD7;CD70;CD74;CD79B;CD80;CD
CellMarker2	Sertoli cell	465	458	458	1.0	A2ML1;ABCC5;ABRACL;ACSL4;ACSS1;ACYP2;ADGRG1;ALDH1A1;AMH;AMHR2;AMIGO2;ANG;ANKH;ANKRD18A;ANKRD6;AP1G1;APOA1;APOBEC3G;ARAP2;ARHGAP18;ARHGEF10;ARNT2;ASS1;ASTN2;ATP11A;ATP1A1;ATP1B1;ATP2B4;ATP5MK;AXL;B3GNT2;BAG2;BBX;BCAT2;BEX1;BEX2;BEX4;BEX5;BLOC1S1;BRICD5;BTF3L4;BTG2;C16orf87;C1orf115;C1orf141;C21orf91;CACNA2D3;CADM1;CAMSAP3;CAMTA1;CARMIL1;CCDC28B;CCNDBP1;CD55;CD58;CDH19;CDH2;CDK2AP2;CEMIP2;CFI;CHPF;CHST3;CITED1;CKB;CLCN3;CLDN11;CLEC18A;CLEC18B;CLEC4M;CLU;CMAS;CMC4;CMTR1;CNDP2;COL2A1;COMT;COPE;CORO2
CellMarker2	Ciliated epithelial cell	447	420	420	1.0	AARS2;ABCA13;ABCB10;ADAP1;ADGB;ADGRE5;AGBL2;AGBL5;AK8;AK9;AKAP14;ALDH16A1;ALDH1A1;ALDH3B1;ALMS1;ANKMY1;ANKRD18A;ANKRD54;ANKRD66;ANKUB1;AP3M2;APBB2;APCDD1;APH1B;ARHGAP18;ARHGAP39;ARHGEF11;ARHGEF38;ARL13B;ARMC2;ARMC3;ASIC1;ASTN2;ATAT1;ATP2C2;ATP6V0A4;ATP6V1C2;ATXN2;B9D1;BAIAP3;BASP1;BBS1;BBS5;BCAS3;BPIFB1;BTC;C11orf16;C12orf76;C16orf46;C1orf87;C20orf96;C2CD2L;C2orf81;C5AR1;C6orf118;C7orf57;C8orf34;CABCOCO1;CACNG6;CAPS2;CAPSL;CCDC13;CCDC148;CCDC157;CCDC170;CCDC181;CCDC24;CCDC33;CCDC39;CCDC60;CCDC65
CellMarker2	Leydig cell	421	399	399	1.0	AAGAB;AAMDC;ABCE1;ABHD12;ABHD13;ACACA;ACSF2;ACSS3;ACTR3B;ADAMTS14;ADCY7;ADNP2;ADPGK;AGL;AGPAT1;AIFM1;AK1;ALAS1;ALCAM;ALDH1B1;ALDOC;AMT;ANGEL1;ANKRD39;ANPEP;AP2B1;AP4B1;APBB2;APH1B;APOC1;APOE;ARCN1;ARHGAP5;ASPH;ATAD2B;ATRNL1;B3GALNT2;BACE1;BAHD1;BCL7A;BICC1;BNIP3;BPNT2;BRD3;BTN3A2;C1QBP;C1orf53;CALB2;CAMK1D;CAMKK2;CARD16;CASK;CASP4;CAV2;CCDC124;CCDC25;CCDC86;CCT8;CD320;CD9;CDH11;CDK4;CDK6;CDKN1C;CDON;CEP135;CFAP97;CFD;CHP1;CHUK;CIBAR1;CILP;CLCN2;CMSS1;COA4;COL11A1;COL6A1;CPED1;CTNNAL1;CTNS;CTPS1;
CellMarker2	Plasmacytoid dendritic cell	356	343	343	1.0	ABCA2;ABCA7;ABHD15;ABI2;ADA;ADAM19;ADGRG5;AHCY;AHI1;AHNAK2;ALDH5A1;ALG2;ALOX5AP;ANKRD36;ANKRD36B;ANKS3;APP;ARHGEF4;ARL6IP6;ASPH;ATP13A2;ATP2A3;B4GALT1;BCL11A;BEX4;BLNK;BTAF1;CAPN15;CARD11;CCDC50;CCDC69;CCR2;CCR7;CCS;CD164;CD2AP;CD4;CD40;CD80;CD83;CD86;CD8A;CD99;CDCA7L;CEP135;CLCN5;CLEC4C;CLEC9A;CLIC3;CLN8;CMKLR1;CNP;COBLL1;COL24A1;CREB3L2;CRIM1;CRYM;CSF2RB;CSNK1E;CTNS;CTSB;CUX2;CXCR3;CYB561A3;CYP46A1;CYSLTR1;CYTH4;DAAM1;DAB2;DAPK2;DCK;DCPS;DENND5B;DERL3;DHRS7;DHTKD1;DPPA4;DSN1;DUSP5;EFHC1;EGLN3;
CellMarker2	Epithelial cell	329	326	326	1.0	ABCA3;ACE2;ACTA2;ADGRG6;ADH7;AGER;AGTR1;AGTR2;AIRE;ALB;ALCAM;ALDH1A3;AMACR;ANLN;ANPEP;APLNR;APOA1;AQP4;AQP5;AR;ASCL1;ASCL2;ASCL3;ATG5;ATP2A2;BACE2;BAP1;BEST1;BEST4;BRD4;BST2;C8G;CA1;CA2;CALCA;CAPS;CAV1;CBX4;CCDC78;CCKAR;CCL13;CCL20;CCL7;CD14;CD24;CD34;CD3D;CD44;CD99;CDC20B;CDC25C;CDH1;CDH12;CDH18;CDH3;CDH5;CDKN2A;CDSN;CDX2;CEACAM1;CFTR;CHGA;CHKA;CHRNA1;CHST9;CKAP2L;CLDN1;CLDN12;CLDN18;CLDN3;CLDN4;CLDN6;CLDN7;CLEC14A;CLIC5;CLIC6;CLU;COL13A1;CP;CPED1;CRABP2;CRX;CRYAB;CTNNB1;CXADR;CYP2F1;DAPL1;DCD;
CellMarker2	Paneth cell	327	323	323	1.0	ABCA1;ABCG1;ABI3;ABRAXAS2;ACP5;ACTRT3;ADA2;ADAP2;ADCY7;ADCY9;ADGRG5;AIF1;AMACR;AOAH;APOBEC3A;ARHGDIB;ARL4C;ARRB2;ATF5;ATP11A;ATP1B3;ATP6V1B2;BCL2A1;BIRC3;BTK;C1QA;C1QB;C1QC;C2;C5AR1;CALHM6;CASP1;CCDC134;CCL3;CCL4;CCR1;CD14;CD163;CD163L1;CD180;CD209;CD300A;CD300E;CD33;CD37;CD4;CD40;CD48;CD53;CD68;CD74;CD83;CD84;CD86;CEBPB;CFP;CHI3L1;CLEC10A;CLEC2B;CLEC4G;CLEC7A;CMKLR1;CNEP1R1;CORO7;COTL1;CPVL;CR1;CREG1;CSF1R;CSF2RB;CSF3R;CTSC;CTSL;CTSZ;CXCL10;CXCL16;CXCL2;CXCL3;CXCL8;CXCL9;CXCR4;CYBB;CYRIA;CYTH4;
